,Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,Demand
0,2010-01-02,3,-1,1.0,7.9,1,89,-1,-4,1,-4,27,55,89,1.4,1014,3,8,248,15,695.6300000000001
1,2010-01-03,1,-3,0.9,7.9,2,82,-3,-5,0,-5,21,21,85,1.0,1024,1,9,51,13,670.7600000000001
2,2010-01-04,1,-3,0.0,7.9,2,75,-4,-6,-2,-6,19,12,86,0.0,1020,1,10,292,11,658.4200000000001
3,2010-01-05,2,-1,2.6,3.0,1,69,-1,-5,0,-5,21,77,93,3.0,1004,2,4,237,13,650.0099999999999
4,2010-01-06,0,-4,1.4,4.9,1,62,-2,-7,-1,-7,37,65,92,1.7,1005,0,8,118,22,680.0699999999999
5,2010-01-07,-3,-6,0.0,8.0,2,55,-5,-10,-4,-10,32,21,94,0.0,1014,-3,10,334,16,707.15
6,2010-01-08,-2,-4,0.0,8.0,1,48,-4,-9,-3,-9,29,44,94,0.0,1024,-2,10,183,16,723.8499999999999
7,2010-01-09,-1,-5,0.0,3.0,1,41,-4,-9,-3,-9,32,65,94,0.0,1027,-1,10,18,18,713.8299999999999
8,2010-01-10,1,-1,1.4,3.0,1,35,-1,-5,0,-5,33,100,95,1.7,1021,1,5,38,20,691.2
9,2010-01-11,0,0,2.6,3.0,1,28,0,-4,0,-4,17,92,97,3.1,1019,0,4,94,11,697.76
10,2010-01-12,0,-2,0.0,3.0,1,21,-1,-6,-1,-6,35,86,96,0.2,1009,0,6,113,22,716.3700000000001
11,2010-01-13,0,-2,1.8,3.0,1,14,-1,-6,-1,-6,22,98,96,2.1,1000,0,6,113,15,743.9599999999999
12,2010-01-14,2,-2,0.0,3.0,1,8,0,-1,0,-1,10,90,98,0.2,1005,2,1,168,6,745.5500000000001
13,2010-01-15,6,0,0.0,3.0,1,1,3,-2,3,-2,40,91,98,1.4,1014,6,6,172,22,776.9200000000001
14,2010-01-16,7,3,0.0,3.1,2,6,4,0,5,0,43,96,96,6.5,1004,7,8,182,25,751.7900000000001
