date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-02,3,-1,1.0,7.9,1,89,06:39 PM,09:24 AM,08:18 AM,04:05 PM,-1,-4,1,-4,27,55,89,1.4,1014,3,8,248,15,birmingham
2010-01-03,1,-3,0.9,7.9,2,82,08:10 PM,09:47 AM,08:18 AM,04:06 PM,-3,-5,-0,-5,21,21,85,1.0,1024,1,9,51,13,birmingham
2010-01-04,1,-3,0.0,7.9,2,75,09:38 PM,10:05 AM,08:17 AM,04:07 PM,-4,-6,-2,-6,19,12,86,0.0,1020,1,10,292,11,birmingham
2010-01-05,2,-1,2.6,3.0,1,69,11:02 PM,10:20 AM,08:17 AM,04:09 PM,-1,-5,-0,-5,21,77,93,3.0,1004,2,4,237,13,birmingham
2010-01-06,0,-4,1.4,4.9,1,62,No moonrise,10:36 AM,08:17 AM,04:10 PM,-2,-7,-1,-7,37,65,92,1.7,1005,0,8,118,22,birmingham
2010-01-07,-3,-6,0.0,8.0,2,55,12:24 AM,10:52 AM,08:16 AM,04:11 PM,-5,-10,-4,-10,32,21,94,0.0,1014,-3,10,334,16,birmingham
2010-01-08,-2,-4,0.0,8.0,1,48,01:45 AM,11:10 AM,08:16 AM,04:13 PM,-4,-9,-3,-9,29,44,94,0.0,1024,-2,10,183,16,birmingham
2010-01-09,-1,-5,0.0,3.0,1,41,03:04 AM,11:33 AM,08:15 AM,04:14 PM,-4,-9,-3,-9,32,65,94,0.0,1027,-1,10,18,18,birmingham
2010-01-10,1,-1,1.4,3.0,1,35,04:19 AM,12:01 PM,08:15 AM,04:15 PM,-1,-5,0,-5,33,100,95,1.7,1021,1,5,38,20,birmingham
2010-01-11,0,-0,2.6,3.0,1,28,05:29 AM,12:39 PM,08:14 AM,04:17 PM,-0,-4,0,-4,17,92,97,3.1,1019,0,4,94,11,birmingham
2010-01-12,0,-2,0.0,3.0,1,21,06:28 AM,01:28 PM,08:13 AM,04:18 PM,-1,-6,-1,-6,35,86,96,0.2,1009,0,6,113,22,birmingham
2010-01-13,-0,-2,1.8,3.0,1,14,07:15 AM,02:27 PM,08:12 AM,04:20 PM,-1,-6,-1,-6,22,98,96,2.1,1000,-0,6,113,15,birmingham
2010-01-14,2,-2,0.0,3.0,1,8,07:51 AM,03:34 PM,08:12 AM,04:21 PM,0,-1,0,-1,10,90,98,0.2,1005,2,1,168,6,birmingham
2010-01-15,6,0,0.0,3.0,1,1,08:17 AM,04:43 PM,08:11 AM,04:23 PM,3,-2,3,-2,40,91,98,1.4,1014,6,6,172,22,birmingham
2010-01-16,7,3,0.0,3.1,2,6,08:37 AM,05:55 PM,08:10 AM,04:25 PM,4,0,5,0,43,96,96,6.5,1004,7,8,182,25,birmingham
2010-01-17,6,2,0.0,8.2,2,13,08:54 AM,07:05 PM,08:09 AM,04:26 PM,3,0,4,0,34,17,93,0.1,1014,6,10,254,18,birmingham
2010-01-18,8,4,0.0,3.1,2,20,09:07 AM,08:14 PM,08:08 AM,04:28 PM,5,2,5,2,27,59,96,0.1,1023,8,8,234,15,birmingham
2010-01-19,6,3,0.0,3.1,2,26,09:20 AM,09:23 PM,08:07 AM,04:30 PM,4,2,5,2,24,87,95,0.2,1021,6,6,142,14,birmingham
2010-01-20,3,3,1.3,3.1,1,33,09:32 AM,10:33 PM,08:06 AM,04:31 PM,2,-1,3,-1,25,100,94,1.7,1012,3,7,102,16,birmingham
2010-01-21,3,2,0.2,6.8,1,40,09:45 AM,11:45 PM,08:05 AM,04:33 PM,2,-1,3,-1,23,56,92,0.3,1017,3,10,145,14,birmingham
2010-01-22,8,5,0.0,3.1,2,47,09:59 AM,No moonset,08:03 AM,04:35 PM,6,3,7,3,30,91,96,8.7,1015,8,8,223,18,birmingham
2010-01-23,5,1,0.0,8.4,1,53,10:17 AM,12:59 AM,08:02 AM,04:37 PM,2,0,3,0,15,63,94,0.0,1021,5,5,321,9,birmingham
2010-01-24,6,3,0.0,3.1,1,60,10:41 AM,02:16 AM,08:01 AM,04:38 PM,3,1,4,1,15,90,90,1.5,1023,6,8,270,10,birmingham
2010-01-25,3,-0,0.1,3.2,1,67,11:14 AM,03:35 AM,08:00 AM,04:40 PM,0,-2,2,-2,21,78,89,0.1,1031,3,9,70,13,birmingham
2010-01-26,3,-1,0.0,8.7,1,74,12:02 PM,04:49 AM,07:58 AM,04:42 PM,-1,-2,1,-2,14,46,86,0.0,1041,3,9,44,9,birmingham
2010-01-27,7,-1,0.0,5.1,1,80,01:07 PM,05:54 AM,07:57 AM,04:44 PM,1,-1,3,-1,31,69,82,0.4,1031,7,8,269,19,birmingham
2010-01-28,6,3,0.0,3.3,1,87,02:28 PM,06:43 AM,07:56 AM,04:46 PM,2,0,5,0,30,85,86,0.5,1013,6,8,304,19,birmingham
2010-01-29,4,-2,0.3,5.1,1,94,04:00 PM,07:20 AM,07:54 AM,04:48 PM,1,-3,2,-3,32,68,91,2.1,994,4,6,307,20,birmingham
2010-01-30,3,-2,0.0,8.7,2,100,05:34 PM,07:47 AM,07:53 AM,04:50 PM,-4,-6,-1,-6,27,8,77,0.0,1001,3,10,311,17,birmingham
2010-01-31,3,-2,0.0,6.9,1,92,07:06 PM,08:08 AM,07:51 AM,04:52 PM,-2,-5,-0,-5,27,37,88,0.0,1005,3,10,277,15,birmingham
2010-02-01,4,-2,0.0,5.2,1,86,08:35 PM,08:25 AM,07:49 AM,04:53 PM,-1,-4,1,-4,30,40,85,0.0,1012,4,10,280,17,birmingham
2010-02-02,6,2,0.0,3.4,2,79,10:01 PM,08:41 AM,07:48 AM,04:55 PM,4,-0,4,-0,39,93,95,3.6,1005,6,7,262,23,birmingham
2010-02-03,3,-1,0.0,6.9,1,72,11:26 PM,08:58 AM,07:46 AM,04:57 PM,0,-1,2,-1,18,52,89,2.0,1007,3,8,204,11,birmingham
2010-02-04,7,2,0.0,3.4,2,65,No moonrise,09:16 AM,07:45 AM,04:59 PM,4,2,5,2,29,90,96,0.9,1004,7,5,173,17,birmingham
2010-02-05,8,4,0.0,8.7,2,59,12:48 AM,09:37 AM,07:43 AM,05:01 PM,4,2,6,2,25,48,92,2.8,999,8,10,170,15,birmingham
2010-02-06,8,2,0.0,7.0,1,52,02:07 AM,10:04 AM,07:41 AM,05:03 PM,3,1,4,1,21,35,93,0.0,1014,8,8,79,12,birmingham
2010-02-07,5,-1,0.1,3.6,1,45,03:20 AM,10:39 AM,07:39 AM,05:05 PM,1,-0,2,-0,13,67,92,0.1,1023,5,5,80,7,birmingham
2010-02-08,2,1,0.4,3.6,1,38,04:23 AM,11:25 AM,07:38 AM,05:07 PM,-1,-4,2,-4,30,93,85,0.4,1016,2,8,36,20,birmingham
2010-02-09,4,0,0.6,3.6,1,31,05:14 AM,12:20 PM,07:36 AM,05:09 PM,-1,-3,2,-3,30,71,84,0.7,1014,4,8,58,18,birmingham
2010-02-10,2,-2,0.3,3.7,1,25,05:53 AM,01:24 PM,07:34 AM,05:11 PM,-2,-5,1,-5,31,74,82,0.4,1019,2,8,140,19,birmingham
2010-02-11,4,-2,0.0,8.7,1,18,06:21 AM,02:33 PM,07:32 AM,05:13 PM,-4,-5,-0,-5,30,44,79,0.0,1024,4,10,92,18,birmingham
2010-02-12,4,-1,0.1,3.7,1,11,06:44 AM,03:44 PM,07:30 AM,05:15 PM,-0,-3,2,-3,30,72,87,0.1,1024,4,9,138,18,birmingham
2010-02-13,4,-1,0.1,5.4,1,4,07:01 AM,04:54 PM,07:28 AM,05:16 PM,-0,-3,2,-3,25,71,86,0.4,1024,4,9,226,16,birmingham
2010-02-14,6,-1,0.3,5.4,1,2,07:16 AM,06:04 PM,07:26 AM,05:18 PM,0,-1,2,-1,20,59,87,0.4,1018,6,9,344,13,birmingham
2010-02-15,5,2,0.2,3.7,1,9,07:29 AM,07:13 PM,07:24 AM,05:20 PM,2,0,3,0,17,85,94,1.8,1005,5,5,217,11,birmingham
2010-02-16,5,-0,0.0,8.7,1,16,07:41 AM,08:23 PM,07:22 AM,05:22 PM,1,-1,3,-1,21,45,86,1.3,992,5,10,222,14,birmingham
2010-02-17,3,-0,2.7,3.8,1,23,07:54 AM,09:34 PM,07:20 AM,05:24 PM,0,-1,1,-1,12,58,94,3.2,991,3,5,84,7,birmingham
2010-02-18,3,-1,4.3,5.4,1,29,08:08 AM,10:47 PM,07:18 AM,05:26 PM,-1,-3,1,-3,21,67,93,5.0,991,3,5,104,13,birmingham
2010-02-19,4,-1,2.6,5.4,1,36,08:24 AM,No moonset,07:16 AM,05:28 PM,-1,-4,1,-4,23,54,87,3.0,993,4,8,286,14,birmingham
