date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,0,8,9,8,20,10,53,0.0,1020,9,10,18,10,california
2018-12-11 03:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,0,6,8,6,19,12,58,0.0,1019,8,10,28,9,california
2018-12-11 06:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,0,5,7,5,21,14,62,0.0,1020,7,10,21,10,california
2018-12-11 09:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-3,10,12,10,17,6,36,0.0,1020,12,10,47,14,california
2018-12-11 12:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-6,14,15,14,19,6,24,0.0,1019,15,10,55,17,california
2018-12-11 15:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-5,14,14,14,11,1,26,0.0,1019,14,10,160,6,california
2018-12-11 18:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-2,11,11,11,14,0,41,0.0,1020,11,10,261,6,california
2018-12-11 21:00:00,15,7,0.0,8.7,4,24,10:14 AM,08:44 PM,06:50 AM,04:40 PM,1,9,10,9,14,0,55,0.0,1021,10,10,266,7,california
2018-12-12 00:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,4,7,9,7,24,14,70,0.0,1020,9,10,277,12,california
2018-12-12 03:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,0,5,8,5,36,33,59,0.0,1019,8,10,284,17,california
2018-12-12 06:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-1,3,6,3,34,11,57,0.0,1020,6,10,279,17,california
2018-12-12 09:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-1,10,11,10,12,21,44,0.0,1020,11,10,342,10,california
2018-12-12 12:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-1,13,14,13,11,1,35,0.0,1021,14,10,75,9,california
2018-12-12 15:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-1,14,14,14,12,0,35,0.0,1021,14,10,180,9,california
2018-12-12 18:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,2,10,10,10,10,0,58,0.0,1023,10,10,217,5,california
2018-12-12 21:00:00,14,6,0.0,8.7,4,31,10:52 AM,09:39 PM,06:51 AM,04:40 PM,1,9,9,9,23,4,57,0.0,1025,9,10,285,11,california
2018-12-13 00:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,1,7,8,7,11,5,61,0.0,1025,8,10,293,5,california
2018-12-13 03:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-2,6,6,6,5,4,59,0.0,1026,6,10,49,3,california
2018-12-13 06:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-2,4,6,4,18,3,59,0.0,1027,6,10,36,9,california
2018-12-13 09:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-6,9,10,9,14,4,31,0.0,1027,10,10,68,12,california
2018-12-13 12:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-9,11,12,11,16,4,22,0.0,1025,12,10,61,14,california
2018-12-13 15:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-9,11,12,11,21,4,22,0.0,1025,12,10,87,14,california
2018-12-13 18:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-8,9,10,9,23,2,26,0.0,1025,10,10,17,12,california
2018-12-13 21:00:00,12,6,0.0,8.7,4,38,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-9,8,9,8,28,3,27,0.0,1025,9,10,48,14,california
2018-12-14 00:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-10,7,8,7,23,5,26,0.0,1024,8,10,7,11,california
2018-12-14 03:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-13,5,7,5,26,17,23,0.0,1024,7,10,48,12,california
2018-12-14 06:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-13,5,7,5,23,36,22,0.0,1024,7,10,10,11,california
2018-12-14 09:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-13,9,11,9,18,48,18,0.0,1023,11,10,68,14,california
2018-12-14 12:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-12,11,12,11,12,88,18,0.0,1021,12,10,52,10,california
2018-12-14 15:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-10,11,11,11,6,49,22,0.0,1020,11,10,86,4,california
2018-12-14 18:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-8,10,10,10,4,50,27,0.0,1021,10,10,27,2,california
2018-12-14 21:00:00,12,7,0.0,7.0,4,45,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-9,9,9,9,5,9,28,0.0,1021,9,10,75,3,california
2018-12-15 00:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-8,8,8,8,8,1,31,0.0,1021,8,10,0,4,california
2018-12-15 03:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-10,5,5,5,14,0,33,0.0,1020,5,10,87,6,california
2018-12-15 06:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-10,4,5,4,14,0,31,0.0,1020,5,10,14,7,california
2018-12-15 09:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-9,10,11,10,11,0,24,0.0,1020,11,10,62,9,california
2018-12-15 12:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-10,13,14,13,12,0,19,0.0,1019,14,10,54,11,california
2018-12-15 15:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-8,14,13,14,10,2,22,0.0,1019,13,10,96,5,california
2018-12-15 18:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-6,11,11,11,4,2,30,0.0,1021,11,10,59,2,california
2018-12-15 21:00:00,14,5,0.0,8.7,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-7,10,10,10,9,4,29,0.0,1021,10,10,53,4,california
2018-12-16 00:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-8,9,10,9,17,1,27,0.0,1021,10,10,6,8,california
2018-12-16 03:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-9,6,7,6,17,5,30,0.0,1021,7,10,15,8,california
2018-12-16 06:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-9,6,6,6,11,11,33,0.0,1021,6,10,1,5,california
2018-12-16 09:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-9,14,13,14,8,11,21,0.0,1021,13,10,105,6,california
2018-12-16 12:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-9,15,15,15,6,4,18,0.0,1019,15,10,96,5,california
2018-12-16 15:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-6,15,14,15,18,4,24,0.0,1019,14,10,112,10,california
2018-12-16 18:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-6,12,12,12,9,7,28,0.0,1020,12,10,230,4,california
2018-12-16 21:00:00,15,6,0.0,8.7,4,58,12:58 PM,12:25 AM,06:54 AM,04:42 PM,-5,11,11,11,17,48,32,0.0,1020,11,10,233,8,california
