date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,30,30,27,8,24,83,0.2,1009,27,9,351,5,singapore
2018-12-11 03:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,23,29,29,26,9,39,84,0.0,1009,26,10,334,6,singapore
2018-12-11 06:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,30,30,27,8,29,82,0.0,1010,27,10,347,6,singapore
2018-12-11 09:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,23,37,37,32,6,38,61,0.0,1010,32,10,353,5,singapore
2018-12-11 12:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,25,40,40,33,5,39,63,3.4,1009,33,7,290,4,singapore
2018-12-11 15:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,25,37,37,31,10,39,70,6.0,1007,31,7,348,5,singapore
2018-12-11 18:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,25,33,33,28,16,36,80,6.3,1009,28,7,348,10,singapore
2018-12-11 21:00:00,33,26,0.0,11.6,7,24,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,31,31,27,13,32,84,0.1,1010,27,10,347,9,singapore
2018-12-12 00:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,26,13,43,86,0.1,1009,26,10,330,9,singapore
2018-12-12 03:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,29,29,26,15,48,86,0.6,1009,26,9,329,9,singapore
2018-12-12 06:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,26,10,44,85,1.1,1010,26,10,307,7,singapore
2018-12-12 09:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,34,34,29,11,49,74,3.8,1011,29,7,296,6,singapore
2018-12-12 12:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,36,36,31,9,31,64,5.4,1010,31,7,341,8,singapore
2018-12-12 15:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,34,34,30,8,41,67,0.0,1009,30,10,354,7,singapore
2018-12-12 18:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,23,31,31,28,8,49,75,0.0,1009,28,10,6,5,singapore
2018-12-12 21:00:00,31,26,0.0,11.6,7,31,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,30,30,27,8,73,83,0.1,1011,27,10,327,5,singapore
2018-12-13 00:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,29,29,26,9,60,84,0.1,1011,26,10,342,6,singapore
2018-12-13 03:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,29,29,26,11,46,85,0.1,1010,26,10,326,7,singapore
2018-12-13 06:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,23,29,29,26,7,54,85,0.1,1010,26,10,324,5,singapore
2018-12-13 09:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,35,35,30,8,43,70,1.3,1012,30,10,311,6,singapore
2018-12-13 12:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,36,36,31,11,48,68,5.7,1010,31,7,354,9,singapore
2018-12-13 15:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,33,33,28,21,61,77,4.5,1009,28,7,14,12,singapore
2018-12-13 18:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,30,30,27,12,57,83,0.0,1010,27,10,3,8,singapore
2018-12-13 21:00:00,31,26,0.0,10.3,7,38,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,30,30,26,16,46,85,0.0,1011,26,10,11,10,singapore
2018-12-14 00:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,13,88,87,0.0,1011,26,10,340,9,singapore
2018-12-14 03:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,23,28,28,25,17,81,89,2.2,1010,25,10,327,10,singapore
2018-12-14 06:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,23,28,28,26,10,87,87,1.3,1011,26,10,322,7,singapore
2018-12-14 09:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,24,32,32,28,15,55,76,1.1,1012,28,10,354,12,singapore
2018-12-14 12:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,24,31,31,27,20,79,83,6.8,1011,27,7,3,13,singapore
2018-12-14 15:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,24,30,30,27,18,47,84,2.3,1010,27,10,8,12,singapore
2018-12-14 18:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,9,61,88,2.7,1011,26,7,357,5,singapore
2018-12-14 21:00:00,28,25,0.0,8.9,6,45,12:17 PM,No moonset,06:58 AM,07:01 PM,24,29,29,26,10,45,91,0.1,1012,26,9,328,6,singapore
2018-12-15 00:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,29,29,25,12,60,93,1.5,1011,25,10,285,8,singapore
2018-12-15 03:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,28,28,25,8,100,93,3.5,1010,25,7,281,5,singapore
2018-12-15 06:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,23,28,28,25,8,100,92,6.0,1011,25,7,275,5,singapore
2018-12-15 09:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,30,30,26,6,65,85,0.1,1012,26,10,313,4,singapore
2018-12-15 12:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,37,37,31,3,46,66,0.1,1010,31,10,338,3,singapore
2018-12-15 15:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,35,35,30,2,46,71,0.2,1009,30,9,83,1,singapore
2018-12-15 18:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,32,32,27,4,40,83,0.4,1010,27,9,321,3,singapore
2018-12-15 21:00:00,31,25,0.0,10.3,6,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,30,30,26,8,55,86,2.2,1012,26,10,304,5,singapore
2018-12-16 00:00:00,33,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,29,29,26,7,59,87,2.2,1011,26,10,283,4,singapore
2018-12-16 03:00:00,33,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,23,28,28,25,6,73,87,0.1,1011,25,10,303,4,singapore
2018-12-16 06:00:00,33,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,23,29,29,26,6,53,86,0.2,1012,26,5,347,4,singapore
2018-12-16 09:00:00,33,25,0.0,10.3,6,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,23,36,36,31,5,48,64,0.0,1012,31,10,324,4,singapore
